economy_code,economy_name,icp_participation_status,armilar_category,data_status,reason
CHN,China,PARTICIPATING,CP04,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
CHN,China,PARTICIPATING,CP06,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
CHN,China,PARTICIPATING,CP09,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
CHN,China,PARTICIPATING,CP10,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
CHN,China,PARTICIPATING,CP12,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
CIV,Cote d'Ivoire,PARTICIPATING,CP04,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
CIV,Cote d'Ivoire,PARTICIPATING,CP06,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
CIV,Cote d'Ivoire,PARTICIPATING,CP09,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
CIV,Cote d'Ivoire,PARTICIPATING,CP10,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
CIV,Cote d'Ivoire,PARTICIPATING,CP12,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
CMR,Cameroon,PARTICIPATING,CP04,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
CMR,Cameroon,PARTICIPATING,CP06,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
CMR,Cameroon,PARTICIPATING,CP09,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
CMR,Cameroon,PARTICIPATING,CP10,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
CMR,Cameroon,PARTICIPATING,CP12,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
COD,"Congo, Dem. Rep.",PARTICIPATING,CP04,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
COD,"Congo, Dem. Rep.",PARTICIPATING,CP06,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
COD,"Congo, Dem. Rep.",PARTICIPATING,CP09,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
COD,"Congo, Dem. Rep.",PARTICIPATING,CP10,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
COD,"Congo, Dem. Rep.",PARTICIPATING,CP12,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
COG,"Congo, Rep.",PARTICIPATING,CP04,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
COG,"Congo, Rep.",PARTICIPATING,CP06,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
COG,"Congo, Rep.",PARTICIPATING,CP09,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
COG,"Congo, Rep.",PARTICIPATING,CP10,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
COG,"Congo, Rep.",PARTICIPATING,CP12,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
COM,Comoros,PARTICIPATING,CP04,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
COM,Comoros,PARTICIPATING,CP06,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
COM,Comoros,PARTICIPATING,CP09,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
COM,Comoros,PARTICIPATING,CP10,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
COM,Comoros,PARTICIPATING,CP12,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
CPV,Cabo Verde,PARTICIPATING,CP04,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
CPV,Cabo Verde,PARTICIPATING,CP06,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
CPV,Cabo Verde,PARTICIPATING,CP09,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
CPV,Cabo Verde,PARTICIPATING,CP10,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
CPV,Cabo Verde,PARTICIPATING,CP12,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
CUW,Curacao,PARTICIPATING,CP04,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
CUW,Curacao,PARTICIPATING,CP06,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
CUW,Curacao,PARTICIPATING,CP09,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
CUW,Curacao,PARTICIPATING,CP10,UNAVAILABLE,MISSING_STRICT_HOUSEHOLD_NOMINAL_EXPENDITURE_FROM_OECD_UNSD_OR_EUROSTAT
