economy_code,source_id,direct_categories_compared,comparison_count,median_supplemental_to_source90_nominal_ratio,status
NLD,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,1,PASS_COMPATIBLE_SCALE
NOR,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,1.007300284803778812917644681,PASS_COMPATIBLE_SCALE
NZL,OECD_TABLE5_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1.038650721336065374886992754,PASS_COMPATIBLE_SCALE
NZL,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,1.039150032635481799231942834,PASS_COMPATIBLE_SCALE
PHL,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,1.000000060164240741085779467,PASS_COMPATIBLE_SCALE
POL,EUROSTAT_NAMA_10_CP18,CP01|CP03|CP05|CP07|CP08|CP11,6,1.000000637451873871019784736,PASS_COMPATIBLE_SCALE
POL,OECD_TABLE5A_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1.000000637451873871019784736,PASS_COMPATIBLE_SCALE
POL,OECD_TABLE5_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1.000000637451873871019784736,PASS_COMPATIBLE_SCALE
POL,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,0.9999968311301963048036428222,PASS_COMPATIBLE_SCALE
PRT,EUROSTAT_NAMA_10_CP18,CP01|CP03|CP05|CP07|CP08|CP11,6,1.021541521852232123402397001,PASS_COMPATIBLE_SCALE
PRT,OECD_TABLE5A_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1.021541521852232123402397001,PASS_COMPATIBLE_SCALE
PRT,OECD_TABLE5_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,0.9999999774434071069353411732,PASS_COMPATIBLE_SCALE
PRT,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,1.000013046592619875459787766,PASS_COMPATIBLE_SCALE
ROU,EUROSTAT_NAMA_10_CP18,CP01|CP03|CP05|CP07|CP08|CP11,6,1,PASS_COMPATIBLE_SCALE
ROU,OECD_TABLE5A_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1,PASS_COMPATIBLE_SCALE
ROU,OECD_TABLE5_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1.018853097110052648472751556,PASS_COMPATIBLE_SCALE
SRB,EUROSTAT_NAMA_10_CP18,CP01|CP03|CP05|CP07|CP08|CP11,6,1.016837719767931995189681456,PASS_COMPATIBLE_SCALE
SVK,EUROSTAT_NAMA_10_CP18,CP01|CP03|CP05|CP07|CP08|CP11,6,1.050713071088517014624698436,PASS_COMPATIBLE_SCALE
SVK,OECD_TABLE5A_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1.050713071088517014624698436,PASS_COMPATIBLE_SCALE
