economy_code,heading_code,ppp,nominal_expenditure,published_real_expenditure,calculated_real_expenditure,relative_error,tolerance,status
ARG,1111000,52.8276214599609,1428.16207168448,27.0343814886103,27.03438148861031541729769681,0.0000000000000005702848316801837374155494815,0.005,PASS
ARG,9020000,37.4837188720703,32987.2253941534,880.041425631668,880.0414256316678600816418414,0.0000000000000001589906498528415229871199539,0.005,PASS
ARG,9060000,17.3567047119141,2163.78740091187,124.665795542779,124.6657955427788804474952057,0.0000000000000009589840122046598013478112235,0.005,PASS
ARG,9080000,19.301685333252,4955.398913023,256.734001589285,256.7340015892851065783924907,0.0000000000000004151315830039558535509828121,0.005,PASS
ARG,9100000,42.9862403869629,29432.3436874796,684.692204354908,684.6922043549079657916622697,0.00000000000000004996162876212362753774282436,0.005,PASS
ARG,9110000,66.4755477905273,1507.68712237216,22.6803264130003,22.68032641300029915680405922,0.00000000000000003717741647213165471187164437,0.005,PASS
ARG,9120000,15.16552734375,2621.168927446,172.837308458399,172.8373084583987894008177984,0.000000000000001218482190448424378263474883,0.005,PASS
ARG,9140000,42.6854095458984,3587.63163866521,84.0481953161895,84.04819531618953572647361421,0.0000000000000004250712758293848646142218087,0.005,PASS
ARM,1000000,148.241226196289,6991.7778,47.1648675567622,47.16486755676221479813383100,0.0000000000000003137533210114641208752059206,0.005,PASS
ARM,1101000,320.484100341797,2182.259,6.80925823675064,6.809258236750640554253210410,0.00000000000000008139700260134181140598010692,0.005,PASS
ARM,1102000,195.860015869141,259.637,1.3256253393417,1.325625339341695991084341562,0.000000000000003024169453813255222961614413,0.005,PASS
ARM,1102100,412.137512207031,159.061,0.38594157359813,0.3859415735981298641808794539,0.0000000000000003519162739578934116474806763,0.005,PASS
ARM,1102200,72.4000778198242,59.477,0.821504641859851,0.8215046418598507041775851195,0.0000000000000003600982877111574677193741383,0.005,PASS
ARM,1103000,376.127166748047,201.723,0.536315953309287,0.5363159533092870512704412027,0.00000000000000009559745684673480030575173627,0.005,PASS
ARM,1105000,316.754913330078,102.684,0.324174924140788,0.3241749241407882737069239655,0.0000000000000008443186180761781265915898970,0.005,PASS
ARM,1107000,270.012817382813,337.9798,1.2517176157635,1.251717615763499939177803170,0.00000000000000004859098894513901998605840363,0.005,PASS
ARM,1108000,122.49169921875,164.457,1.34259709881489,1.342597098814890996280838545,0.0000000000000007420549615550463765253932183,0.005,PASS
ARM,1111000,188.457778930664,114.445,0.607271297843883,0.6072712978438834446165446029,0.0000000000000007321547159918659580655862609,0.005,PASS
ARM,9020000,141.520584106445,5383.6708,38.0416095226872,38.04160952268725003535567427,0.000000000000001315279671445814800185426184,0.005,PASS
ARM,9060000,65.2474136352539,809.796,12.4111586173656,12.41115861736561240826340489,0.0000000000000009997667250443847329103692609,0.005,PASS
ARM,9080000,66.0578079223633,413.161,6.25453694263639,6.254536942636389149551837286,0.0000000000000001359730017607861690697570573,0.005,PASS
ARM,9100000,164.226486206055,4981.1718,30.331111108047,30.33111110804698640773071291,0.0000000000000004481296197383254103726419512,0.005,PASS
ARM,9110000,236.43196105957,157.093,0.664432166006608,0.6644321660066076086514647855,0.0000000000000005889969740125554186305378746,0.005,PASS
ARM,9120000,40.7445945739746,257.806,6.32736692303897,6.327366923038970551417841919,0.00000000000000008714807417145323651234987299,0.005,PASS
ARM,9140000,136.488220214844,222.371,1.62923217586081,1.629232175860812328048234757,0.000000000000001428923556292379453841780925,0.005,PASS
ATG,1000000,1.81939482688904,4.32369,2.37644404397534,2.376444043975337867177250961,0.0000000000000008974849437107688863857412839,0.005,PASS
ATG,1101000,3.71659827232361,0.502408841812562,0.135179754442079,0.1351797544420793616687659854,0.000000000000002675465475418995792019607901,0.005,PASS
ATG,1102000,2.05174660682678,0.0509776054411069,0.0248459557683629,0.02484595576836292848232590082,0.000000000000001146356621027531533124200352,0.005,PASS
ATG,1102100,3.22612142562866,0.0378870507173053,0.0117438390310812,0.01174383903108123655163428011,0.000000000000003112409339345726967299840451,0.005,PASS
ATG,1102200,1.18807208538055,0.0130905547238016,0.0110183168890872,0.01101831688908723034920718173,0.000000000000002754432232003471243544236869,0.005,PASS
ATG,1103000,2.73692226409912,0.0680702535902755,0.0248710949825538,0.02487109498255383298139930805,0.000000000000001326093576948875542559162453,0.005,PASS
ATG,1105000,3.0143187046051,0.182793023978863,0.0606415717420996,0.06064157174209963198996077778,0.0000000000000005275252579835657136999151504,0.005,PASS
ATG,1107000,2.95526790618896,0.310755683790286,0.105153134556599,0.1051531345565988979728679367,0.0000000000000009702719038621105537591787601,0.005,PASS
ATG,1108000,1.95821511745453,0.128116807012348,0.0654252976960397,0.06542529769603971423034370779,0.0000000000000002175052190653063840634894486,0.005,PASS
ATG,1111000,1.74247014522552,0.0757358816007272,0.0434646652674356,0.04346466526743564303013519568,0.0000000000000009900026821998521945187707865,0.005,PASS
ATG,9020000,1.89928507804871,2.30824468843774,1.21532292077458,1.215322920774582961541632279,0.000000000000002436835166732045353470904926,0.005,PASS
ATG,9060000,1.2380952835083,0.684276798099546,0.552685085884958,0.5526850858849578307008830876,0.0000000000000003063211243366892566844863360,0.005,PASS
ATG,9080000,1.39455592632294,0.304681441032914,0.218479184148803,0.2184791841488028872862755277,0.0000000000000005159014343239780631379925525,0.005,PASS
ATG,9100000,2.14217019081116,1.94781179269236,0.90927032830888,0.9092703283088802017588381881,0.0000000000000002218909293601872926609184909,0.005,PASS
ATG,9110000,2.59046268463135,0.106464065127126,0.0410984747083037,0.04109847470830368386534629935,0.0000000000000003925852191636223938897427920,0.005,PASS
ATG,9120000,0.542309105396271,0.147888617871032,0.272701705354861,0.2727017053548607164125042471,0.000000000000001039918307015621884924149639,0.005,PASS
ATG,9140000,1.78525853157043,0.421563212487164,0.236135666085477,0.2361356660854769678145071826,0.0000000000000001363008534498528991790123045,0.005,PASS
AUS,1000000,1.41668283939362,2206.533,1557.53492499737,1557.534924997367814393731130,0.000000000000001403247037220491565996755991,0.005,PASS
AUS,1101000,1.6938214302063,112.772665046291,66.5788394426889,66.57883944268894119669584735,0.0000000000000006187656046905434187836843105,0.005,PASS
AUS,1102000,3.46061515808105,45.7638143927025,13.2241848059404,13.22418480594041246509460315,0.0000000000000009425983367648181111536095966,0.005,PASS
AUS,1102100,2.75852608680725,24.8436241432592,9.00612260368852,9.006122603688514667239020097,0.0000000000000005921261806628005197377223165,0.005,PASS
AUS,1102200,4.62300872802734,20.9201902494433,4.52523269588765,4.525232695887650969214097409,0.0000000000000002141799466555129648092569341,0.005,PASS
