economy_code,armilar_category,chosen_source_id,candidate_source_id,chosen_value_lcu,candidate_value_lcu,relative_difference,candidate_complete_proxy_set,candidate_missing_proxy_categories,selection_basis,status
BGR,CP09,OECD_TABLE5_T501,OECD_TABLE5_T501,3397880000.00,3397880000.00,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BGR,CP10,OECD_TABLE5_T501,OECD_TABLE5_T501,629964000.000,629964000.000,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BGR,CP12,OECD_TABLE5_T501,OECD_TABLE5_T501,2900023000.000,2900023000.000,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BGR,CP04,OECD_TABLE5_T501,UNDATA_SNA_TABLE32,8037810000.00,15720600000,0.4887084462425098278691652990,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_DIVERGENT
BGR,CP06,OECD_TABLE5_T501,UNDATA_SNA_TABLE32,3015893000.000,5898600000,0.4887103719526667344793679856,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_DIVERGENT
BGR,CP09,OECD_TABLE5_T501,UNDATA_SNA_TABLE32,3397880000.00,6645700000,0.4887099929277577982755766887,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_DIVERGENT
BGR,CP10,OECD_TABLE5_T501,UNDATA_SNA_TABLE32,629964000.000,1232100000,0.4887070854638422205989773557,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_DIVERGENT
BGR,CP12,OECD_TABLE5_T501,UNDATA_SNA_TABLE32,2900023000.000,5672000000,0.4887124471086036671368124118,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_DIVERGENT
BGR,CP04,OECD_TABLE5_T501,EUROSTAT_NAMA_10_CP18,8037810000.00,8046900000.0,0.001129627558438653394474890952,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_CONSISTENT
BGR,CP06,OECD_TABLE5_T501,EUROSTAT_NAMA_10_CP18,3015893000.000,3015900000.0,0.000002321031864451739116018435625,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_CONSISTENT
BGR,CP09,OECD_TABLE5_T501,EUROSTAT_NAMA_10_CP18,3397880000.00,3397900000.0,0.000005885988404602842932399423173,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_CONSISTENT
BGR,CP10,OECD_TABLE5_T501,EUROSTAT_NAMA_10_CP18,629964000.000,630000000.0,0.00005714285714285714285714285714,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_CONSISTENT
BGR,CP12,OECD_TABLE5_T501,EUROSTAT_NAMA_10_CP18,2900023000.000,2866500000.0,0.01155956349311712355384767638,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_CONSISTENT
BGR,CP04,OECD_TABLE5_T501,OECD_TABLE5A_T501,8037810000.00,8046900000.0,0.001129627558438653394474890952,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_CONSISTENT
BGR,CP06,OECD_TABLE5_T501,OECD_TABLE5A_T501,3015893000.000,3015900000.0,0.000002321031864451739116018435625,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_CONSISTENT
BGR,CP09,OECD_TABLE5_T501,OECD_TABLE5A_T501,3397880000.00,3397900000.0,0.000005885988404602842932399423173,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_CONSISTENT
BGR,CP10,OECD_TABLE5_T501,OECD_TABLE5A_T501,629964000.000,630000000,0.00005714285714285714285714285714,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_CONSISTENT
BGR,CP12,OECD_TABLE5_T501,OECD_TABLE5A_T501,2900023000.000,2866500000.0,0.01155956349311712355384767638,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_CONSISTENT
BIH,CP04,EUROSTAT_NAMA_10_CP18,EUROSTAT_NAMA_10_CP18,4202800000.0,4202800000.0,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BIH,CP06,EUROSTAT_NAMA_10_CP18,EUROSTAT_NAMA_10_CP18,1324000000.0,1324000000.0,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BIH,CP09,EUROSTAT_NAMA_10_CP18,EUROSTAT_NAMA_10_CP18,1178900000.0,1178900000.0,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BIH,CP10,EUROSTAT_NAMA_10_CP18,EUROSTAT_NAMA_10_CP18,336500000.0,336500000.0,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BIH,CP12,EUROSTAT_NAMA_10_CP18,EUROSTAT_NAMA_10_CP18,2059900000.0,2059900000.0,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BLR,CP04,UNDATA_SNA_TABLE32,UNDATA_SNA_TABLE32,14740077000,14740077000,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BLR,CP06,UNDATA_SNA_TABLE32,UNDATA_SNA_TABLE32,3789259000,3789259000,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BLR,CP09,UNDATA_SNA_TABLE32,UNDATA_SNA_TABLE32,5081304000,5081304000,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BLR,CP10,UNDATA_SNA_TABLE32,UNDATA_SNA_TABLE32,994219000,994219000,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BLR,CP12,UNDATA_SNA_TABLE32,UNDATA_SNA_TABLE32,4614117000,4614117000,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BLZ,CP04,,UNDATA_SNA_TABLE32,,234077727.295702,,false,CP06|CP09|CP10|CP12,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,NO_COMPLETE_SOURCE_FOR_ECONOMY
BLZ,CP06,,UNDATA_SNA_TABLE32,,,,false,CP06|CP09|CP10|CP12,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,CANDIDATE_MISSING_CATEGORY
BLZ,CP09,,UNDATA_SNA_TABLE32,,,,false,CP06|CP09|CP10|CP12,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,CANDIDATE_MISSING_CATEGORY
