economic_gap_rank,source_adjusted_priority_rank,economy_code,economy_name,categories_available,missing_categories,direct_categories_available,direct_real_expenditure_ppp_indicator,direct_expenditure_share_of_participant_indicator,cumulative_direct_expenditure_share_of_incomplete_economies,source_probe_class,source_probe_best_source_id,source_probe_retrieval_status,candidate_success_probability_assumption,integration_cost_assumption,development_priority_score,blocking_reason
38,,BOL,Bolivia,7,CP04|CP06|CP09|CP10|CP12,7,35036789645.48932910897901377,0.001105908750497511079324344673,0.4788483419549466966437572638,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
39,,COD,"Congo, Dem. Rep.",7,CP04|CP06|CP09|CP10|CP12,7,32557683959.69933771194992323,0.001027657726386452168122244045,0.4798759996813331488118795078,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
40,,PRY,Paraguay,7,CP04|CP06|CP09|CP10|CP12,7,29108874325.78196144998588348,0.0009187987586687756952889668632,0.4807947984400019245071684747,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
41,,JOR,Jordan,7,CP04|CP06|CP09|CP10|CP12,7,28799088145.35348154355909859,0.0009090206011610383165836872495,0.4817038190411629628237521619,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
42,,UGA,Uganda,7,CP04|CP06|CP09|CP10|CP12,7,28514023860.46448113551072057,0.0009000227708717085057619743743,0.4826038418120346713295141363,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
43,,SYR,Syrian Arab Republic,7,CP04|CP06|CP09|CP10|CP12,7,27850717311.23258260650390716,0.0008790860205449757735630527296,0.4834829278325796471030771890,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
44,,PAN,Panama,7,CP04|CP06|CP09|CP10|CP12,7,26978658971.07781507020310005,0.0008515601838721614180136063840,0.4843344880164518085210907954,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
45,,URY,Uruguay,7,CP04|CP06|CP09|CP10|CP12,7,25536818497.61359564825784870,0.0008060496216157579450082004519,0.4851405376380675664660989959,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
46,13,KWT,Kuwait,6,CP02|CP04|CP06|CP09|CP10|CP12,6,25309990845.74078120040385573,0.0007988899849139049423380961145,0.4859394276229814714084370920,D_UNAVAILABLE,KWT_CSB_HIES_2019_2021,CONTENT_VALIDATION_FAILED,0.01,LOW,0.000007988899849139049423380961145,SOURCE_CONTENT_NOT_VALIDATED:INVALID_PDF_SIGNATURE
47,,SLV,El Salvador,7,CP04|CP06|CP09|CP10|CP12,7,24635959304.07904709279989870,0.0007776147086235440981896711587,0.4867170423316050155066267632,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
48,,QAT,Qatar,7,CP04|CP06|CP09|CP10|CP12,7,23930106731.11729749410523558,0.0007553350264695006815526983789,0.4874723773580745161881794616,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
49,,MLI,Mali,7,CP04|CP06|CP09|CP10|CP12,7,21717318906.75163392813884239,0.0006854901165128207778560437957,0.4881578674745873369660355054,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
50,,SEN,Senegal,7,CP04|CP06|CP09|CP10|CP12,7,20964950585.29254061027715771,0.0006617422012866363870472383035,0.4888196096758739733530827437,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
51,,KHM,Cambodia,7,CP04|CP06|CP09|CP10|CP12,7,20535983135.82073520054989738,0.0006482021806155203872170008066,0.4894678118564894937402997445,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
52,,GIN,Guinea,7,CP04|CP06|CP09|CP10|CP12,7,18958086145.75712273946085789,0.0005983971012588936697461690502,0.4900662089577483874100459136,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
53,,GEO,Georgia,7,CP04|CP06|CP09|CP10|CP12,7,18059743590.40463165745781027,0.0005700416239745610048044199784,0.4906362505817229484148503336,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
54,,MDG,Madagascar,7,CP04|CP06|CP09|CP10|CP12,7,16885932100.03063740682361638,0.0005329911860841634875359641726,0.4911692417678071119023862978,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
55,,LBN,Lebanon,7,CP04|CP06|CP09|CP10|CP12,7,16244398069.09518695861322153,0.0005127416681993308360689478595,0.4916819834360064427384552457,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
56,,SOM,Somalia,7,CP04|CP06|CP09|CP10|CP12,7,14924463654.74907197082629624,0.0004710789749652176248366785323,0.4921530624109716603632919242,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
57,,MOZ,Mozambique,7,CP04|CP06|CP09|CP10|CP12,7,13763457213.84251484862367785,0.0004344327184053552053622364594,0.4925874951293770155686541607,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
58,,MDA,Moldova,7,CP04|CP06|CP09|CP10|CP12,7,13634432314.21149569119208696,0.0004303601487727553990614959048,0.4930178552781497709677156566,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
59,,BEN,Benin,7,CP04|CP06|CP09|CP10|CP12,7,13087552962.53069752392775306,0.0004130983315055428816797887849,0.4934309536096553138493954454,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
60,,ZWE,Zimbabwe,7,CP04|CP06|CP09|CP10|CP12,7,13068407976.99584264560265368,0.0004124940350718406556349417853,0.4938434476447271545050303872,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
61,,NIC,Nicaragua,7,CP04|CP06|CP09|CP10|CP12,7,12324123104.10631251686624068,0.0003890012675517597378960464161,0.4942324489122789142429264336,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
62,,NER,Niger,7,CP04|CP06|CP09|CP10|CP12,7,12088259757.41423631525595283,0.0003815564262387378844736873705,0.4946140053385176521274001210,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
63,,ARM,Armenia,7,CP04|CP06|CP09|CP10|CP12,7,12078781342.08097082766422646,0.0003812572475022163555309954407,0.4949952625860198684829311164,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
64,,JAM,Jamaica,7,CP04|CP06|CP09|CP10|CP12,7,12069949916.42268116632239885,0.0003809784904866994341689022000,0.4953762410765065679171000186,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
65,,LAO,Lao PDR,7,CP04|CP06|CP09|CP10|CP12,7,11778977983.18783578580692683,0.0003717941899166550428728638718,0.4957480352664232229599728825,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
