economy_code,economy_name,icp_participation_status,eligible_complete_12_category_matrix,included_in_observed_research_weights,official_imputation_category_detail_available,participation_status_basis
POL,Poland,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
PRI,Puerto Rico,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,false,false,false,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
PRT,Portugal,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
PRY,Paraguay,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
PSE,West Bank and Gaza,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
QAT,Qatar,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
ROU,Romania,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
RUT,Russian Federation,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
RWA,Rwanda,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
SAB,South Asia (Benchmark),AGGREGATE,false,false,,SOURCE90_AGGREGATE
SAU,Saudi Arabia,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
SDN,Sudan,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
SEN,Senegal,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
SGP,Singapore,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
SLE,Sierra Leone,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
SLV,El Salvador,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
SMR,San Marino,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,false,false,false,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
SOM,Somalia,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
SRB,Serbia,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
SSB,Sub-Saharan Africa (Benchmark),AGGREGATE,false,false,,SOURCE90_AGGREGATE
SSD,South Sudan,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
STP,Sao Tome and Principe,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
SUR,Suriname,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
SVK,Slovak Republic,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
SVN,Slovenia,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
SWE,Sweden,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
SWZ,Eswatini,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
SXM,Sint Maarten,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,false,false,false,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
