economy_code,economy_name,check,measure_basis,reported_value,derived_value,difference,relative_error,tolerance,status,missing_heading_codes
BOL,Bolivia,NOMINAL_HFCE_EQUALS_SUM_OF_13_PUBLISHED_CATEGORIES_INCLUDING_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1104000|1106000|1109000|1110000|1112000
BOL,Bolivia,NOMINAL_HFCE_MINUS_ARMILAR_EQUALS_NARCOTICS_PLUS_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1100000|1102300|1104000|1106000|1109000|1110000|1112000
BRA,Brazil,NOMINAL_CP02_PARENT_EQUALS_ALCOHOL_TOBACCO_NARCOTICS,NOMINAL_EXPENDITURE_LCU,87.3199687196159,,,,0.005,NOT_TESTED_MISSING_INPUT,1102300
BRA,Brazil,NOMINAL_HFCE_EQUALS_SUM_OF_13_PUBLISHED_CATEGORIES_INCLUDING_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1104000|1106000|1109000|1110000|1112000
BRA,Brazil,NOMINAL_HFCE_MINUS_ARMILAR_EQUALS_NARCOTICS_PLUS_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1100000|1102300|1104000|1106000|1109000|1110000|1112000
BRN,Brunei Darussalam,NOMINAL_CP02_PARENT_EQUALS_ALCOHOL_TOBACCO_NARCOTICS,NOMINAL_EXPENDITURE_LCU,0.00916165300904793,,,,0.005,NOT_TESTED_MISSING_INPUT,1102300
BRN,Brunei Darussalam,NOMINAL_HFCE_EQUALS_SUM_OF_13_PUBLISHED_CATEGORIES_INCLUDING_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1104000|1106000|1109000|1110000|1112000
BRN,Brunei Darussalam,NOMINAL_HFCE_MINUS_ARMILAR_EQUALS_NARCOTICS_PLUS_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1100000|1102300|1104000|1106000|1109000|1110000|1112000
BTN,Bhutan,NOMINAL_CP02_PARENT_EQUALS_ALCOHOL_TOBACCO_NARCOTICS,NOMINAL_EXPENDITURE_LCU,3.54853650953401,,,,0.005,NOT_TESTED_MISSING_INPUT,1102300
BTN,Bhutan,NOMINAL_HFCE_EQUALS_SUM_OF_13_PUBLISHED_CATEGORIES_INCLUDING_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1104000|1106000|1109000|1110000|1112000
BTN,Bhutan,NOMINAL_HFCE_MINUS_ARMILAR_EQUALS_NARCOTICS_PLUS_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1100000|1102300|1104000|1106000|1109000|1110000|1112000
BWA,Botswana,NOMINAL_CP02_PARENT_EQUALS_ALCOHOL_TOBACCO_NARCOTICS,NOMINAL_EXPENDITURE_LCU,3.86916602293737,,,,0.005,NOT_TESTED_MISSING_INPUT,1102300
BWA,Botswana,NOMINAL_HFCE_EQUALS_SUM_OF_13_PUBLISHED_CATEGORIES_INCLUDING_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1104000|1106000|1109000|1110000|1112000
BWA,Botswana,NOMINAL_HFCE_MINUS_ARMILAR_EQUALS_NARCOTICS_PLUS_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1100000|1102300|1104000|1106000|1109000|1110000|1112000
CAF,Central African Republic,NOMINAL_CP02_PARENT_EQUALS_ALCOHOL_TOBACCO_NARCOTICS,NOMINAL_EXPENDITURE_LCU,114.93212,,,,0.005,NOT_TESTED_MISSING_INPUT,1102300
CAF,Central African Republic,NOMINAL_HFCE_EQUALS_SUM_OF_13_PUBLISHED_CATEGORIES_INCLUDING_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1104000|1106000|1109000|1110000|1112000
CAF,Central African Republic,NOMINAL_HFCE_MINUS_ARMILAR_EQUALS_NARCOTICS_PLUS_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1100000|1102300|1104000|1106000|1109000|1110000|1112000
