economy_code,economy_name,armilar_category,heading_code,reason,data_status,included_in_candidate_weights
KGZ,Kyrgyz Republic,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KHM,Cambodia,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KHM,Cambodia,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KHM,Cambodia,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KHM,Cambodia,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KHM,Cambodia,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KNA,St. Kitts and Nevis,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KNA,St. Kitts and Nevis,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KNA,St. Kitts and Nevis,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KNA,St. Kitts and Nevis,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KNA,St. Kitts and Nevis,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KOR,"Korea, Rep.",CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KOR,"Korea, Rep.",CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KOR,"Korea, Rep.",CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KOR,"Korea, Rep.",CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KOR,"Korea, Rep.",CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KWT,Kuwait,CP02,1102100,MISSING_REQUIRED_CP02_REAL_COMPONENT,UNAVAILABLE,false
KWT,Kuwait,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KWT,Kuwait,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KWT,Kuwait,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KWT,Kuwait,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KWT,Kuwait,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LAO,Lao PDR,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LAO,Lao PDR,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LAO,Lao PDR,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LAO,Lao PDR,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LAO,Lao PDR,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LBN,Lebanon,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LBN,Lebanon,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
