economy_code,economy_name,category_code,real_expenditure_central,real_expenditure_lower,real_expenditure_upper,evidence_class,method_id,model_version,source_ids,donor_economies,source_state,transformation_method,core_eligible,global_eligible,validation_mae,validation_bias,notes
BEL,Belgium,CP04,85479981240.80394,85479981240.80394,85479981240.80394,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,9060000|OECD_TABLE5_T501,,STRICT_MATRIX_ACCEPTED,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,true,true,,,Converted from strict Step 2 matrix without changing value.
BEL,Belgium,CP05,17165248908.542797,17165248908.542797,17165248908.542797,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1105000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
BEL,Belgium,CP06,32162555253.717457,32162555253.717457,32162555253.717457,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,9080000|OECD_TABLE5_T501,,STRICT_MATRIX_ACCEPTED,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,true,true,,,Converted from strict Step 2 matrix without changing value.
BEL,Belgium,CP07,21221690407.026936,21221690407.026936,21221690407.026936,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1107000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
BEL,Belgium,CP08,7067386751.5955,7067386751.5955,7067386751.5955,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1108000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
BEL,Belgium,CP09,21074515753.683418,21074515753.683418,21074515753.683418,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,9110000|OECD_TABLE5_T501,,STRICT_MATRIX_ACCEPTED,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,true,true,,,Converted from strict Step 2 matrix without changing value.
BEL,Belgium,CP10,1474303870.8819413,1474303870.8819413,1474303870.8819413,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,9120000|OECD_TABLE5_T501,,STRICT_MATRIX_ACCEPTED,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,true,true,,,Converted from strict Step 2 matrix without changing value.
BEL,Belgium,CP11,12727932847.62982,12727932847.62982,12727932847.62982,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1111000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
BEL,Belgium,CP12,46819933955.923065,46819933955.923065,46819933955.923065,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,9140000|OECD_TABLE5_T501,,STRICT_MATRIX_ACCEPTED,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,true,true,,,Converted from strict Step 2 matrix without changing value.
BFA,Burkina Faso,CP01,7787899956.0362301,7787899956.0362301,7787899956.0362301,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1101000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
BFA,Burkina Faso,CP02,1827365716.8056386,1827365716.8056386,1827365716.8056386,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,1102100+1102200|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,ALCOHOL_PLUS_TOBACCO_EXCLUDING_NARCOTICS,true,true,,,Converted from strict Step 2 matrix without changing value.
BFA,Burkina Faso,CP03,1306513276.0751243,1306513276.0751243,1306513276.0751243,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1103000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
BFA,Burkina Faso,CP04,11620539265.808413,11620539265.808413,11620539265.808413,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,9060000|UNDATA_SNA_TABLE32,,STRICT_MATRIX_ACCEPTED,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,true,true,,,Converted from strict Step 2 matrix without changing value.
BFA,Burkina Faso,CP05,1352965780.4080751,1352965780.4080751,1352965780.4080751,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1105000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
BFA,Burkina Faso,CP06,1790703665.8244808,1790703665.8244808,1790703665.8244808,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,9080000|UNDATA_SNA_TABLE32,,STRICT_MATRIX_ACCEPTED,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,true,true,,,Converted from strict Step 2 matrix without changing value.
BFA,Burkina Faso,CP07,1438151200.4073129,1438151200.4073129,1438151200.4073129,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1107000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
BFA,Burkina Faso,CP08,597986328.96729398,597986328.96729398,597986328.96729398,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1108000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
BFA,Burkina Faso,CP09,444411451.86292613,444411451.86292613,444411451.86292613,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,9110000|UNDATA_SNA_TABLE32,,STRICT_MATRIX_ACCEPTED,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,true,true,,,Converted from strict Step 2 matrix without changing value.
BFA,Burkina Faso,CP10,512645647.60496193,512645647.60496193,512645647.60496193,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,9120000|UNDATA_SNA_TABLE32,,STRICT_MATRIX_ACCEPTED,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,true,true,,,Converted from strict Step 2 matrix without changing value.
BFA,Burkina Faso,CP11,1980847789.8434718,1980847789.8434718,1980847789.8434718,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1111000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
BFA,Burkina Faso,CP12,540259482.38690996,540259482.38690996,540259482.38690996,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,9140000|UNDATA_SNA_TABLE32,,STRICT_MATRIX_ACCEPTED,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,true,true,,,Converted from strict Step 2 matrix without changing value.
BGR,Bulgaria,CP01,12290616364.037077,12290616364.037077,12290616364.037077,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1101000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
BGR,Bulgaria,CP02,4980787664.4464598,4980787664.4464598,4980787664.4464598,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,1102100+1102200|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,ALCOHOL_PLUS_TOBACCO_EXCLUDING_NARCOTICS,true,true,,,Converted from strict Step 2 matrix without changing value.
BGR,Bulgaria,CP03,2160330719.2039046,2160330719.2039046,2160330719.2039046,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1103000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
BGR,Bulgaria,CP04,19919509953.170322,19919509953.170322,19919509953.170322,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,9060000|OECD_TABLE5_T501,,STRICT_MATRIX_ACCEPTED,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,true,true,,,Converted from strict Step 2 matrix without changing value.
BGR,Bulgaria,CP05,4199682009.9981518,4199682009.9981518,4199682009.9981518,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1105000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
BGR,Bulgaria,CP06,9885037287.2680302,9885037287.2680302,9885037287.2680302,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,9080000|OECD_TABLE5_T501,,STRICT_MATRIX_ACCEPTED,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,true,true,,,Converted from strict Step 2 matrix without changing value.
BGR,Bulgaria,CP07,7078712277.0290298,7078712277.0290298,7078712277.0290298,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1107000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
BGR,Bulgaria,CP08,6211548107.9080286,6211548107.9080286,6211548107.9080286,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1108000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
BGR,Bulgaria,CP09,3183624826.6297975,3183624826.6297975,3183624826.6297975,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,9110000|OECD_TABLE5_T501,,STRICT_MATRIX_ACCEPTED,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,true,true,,,Converted from strict Step 2 matrix without changing value.
